,subj_idx,mode,type,rt,acc,item_1,item_2,item_cue
0,ACC014,mem,resp,988,1,mem3.2.1.bmp,mem3.1.2.bmp,mem1.2.2.bmp
1,ACC014,mem,resp,940,1,mem2.3.2.bmp,mem3.3.3.bmp,mem3.3.3.bmp
2,ACC014,mem,resp,682,0,mem2.2.3.bmp,mem1.2.1.bmp,mem2.2.3.bmp
3,ACC014,mem,resp,968,1,mem3.2.2.bmp,mem1.3.2.bmp,mem2.2.1.bmp
4,ACC014,mem,resp,648,1,mem1.1.2.bmp,mem2.3.3.bmp,mem2.3.3.bmp
5,ACC014,mem,resp,777,1,mem1.1.3.bmp,mem1.2.2.bmp,mem1.1.3.bmp
6,ACC014,mem,resp,553,1,mem1.2.1.bmp,mem1.2.3.bmp,mem1.2.3.bmp
7,ACC014,mem,resp,735,1,mem3.3.2.bmp,mem3.1.3.bmp,mem3.1.3.bmp
8,ACC014,mem,resp,854,1,mem2.1.2.bmp,mem2.2.2.bmp,mem2.1.2.bmp
9,ACC014,mem,resp,1020,0,mem2.3.1.bmp,mem3.1.1.bmp,mem2.3.1.bmp
10,ACC014,mem,resp,990,0,mem1.3.1.bmp,mem3.2.2.bmp,mem1.3.1.bmp
11,ACC014,mem,resp,802,1,mem2.1.3.bmp,mem3.2.3.bmp,mem1.3.3.bmp
12,ACC014,mem,resp,761,0,mem3.1.3.bmp,mem1.1.1.bmp,mem1.2.1.bmp
13,ACC014,mem,resp,739,1,mem3.1.1.bmp,mem2.1.1.bmp,mem2.1.1.bmp
14,ACC014,mem,resp,988,1,mem3.3.3.bmp,mem2.2.1.bmp,mem2.2.1.bmp
15,ACC014,mem,resp,945,1,mem3.1.2.bmp,mem1.3.3.bmp,mem2.1.2.bmp
16,ACC014,mem,resp,917,1,mem1.3.2.bmp,mem3.2.2.bmp,mem1.1.1.bmp
17,ACC014,mem,resp,754,1,mem3.3.1.bmp,mem2.3.1.bmp,mem3.3.1.bmp
18,ACC014,mem,resp,771,1,mem2.3.3.bmp,mem3.1.3.bmp,mem3.1.3.bmp
19,ACC014,mem,resp,1162,0,mem3.2.3.bmp,mem3.1.1.bmp,mem3.2.3.bmp
20,ACC014,mem,resp,830,1,mem2.1.1.bmp,mem3.2.1.bmp,mem1.2.1.bmp
21,ACC014,mem,resp,1029,0,mem1.3.3.bmp,mem1.1.2.bmp,mem1.3.2.bmp
22,ACC014,mem,resp,835,0,mem1.2.3.bmp,mem3.3.1.bmp,mem1.1.3.bmp
23,ACC014,mem,resp,1022,1,mem2.2.1.bmp,mem1.3.1.bmp,mem2.2.3.bmp
24,ACC014,mem,resp,1273,1,mem1.1.1.bmp,mem3.3.2.bmp,mem3.2.3.bmp
25,ACC014,mem,resp,803,1,mem2.2.2.bmp,mem2.1.3.bmp,mem2.1.3.bmp
26,ACC014,mem,resp,831,1,mem1.2.2.bmp,mem2.3.2.bmp,mem1.2.2.bmp
27,ACC014,mem,resp,796,1,mem3.3.3.bmp,mem1.1.3.bmp,mem3.3.3.bmp
28,ACC014,mem,resp,832,1,mem3.3.1.bmp,mem3.2.3.bmp,mem3.2.3.bmp
29,ACC014,mem,resp,981,0,mem1.1.2.bmp,mem2.2.1.bmp,mem3.1.3.bmp
30,ACC014,mem,resp,718,1,mem1.3.2.bmp,mem2.2.3.bmp,mem2.2.3.bmp
31,ACC014,mem,resp,875,1,mem1.1.3.bmp,mem2.1.2.bmp,mem1.1.3.bmp
32,ACC014,mem,resp,1316,1,mem3.2.3.bmp,mem1.3.3.bmp,mem2.2.2.bmp
33,ACC014,mem,resp,896,1,mem1.2.1.bmp,mem1.2.3.bmp,mem1.2.3.bmp
34,ACC014,mem,resp,762,1,mem1.3.1.bmp,mem1.3.2.bmp,mem1.3.2.bmp
35,ACC014,mem,resp,859,1,mem3.1.2.bmp,mem3.3.3.bmp,mem1.1.2.bmp
36,ACC014,mem,resp,806,1,mem3.2.1.bmp,mem3.2.2.bmp,mem3.2.2.bmp
37,ACC014,mem,resp,794,1,mem2.1.1.bmp,mem2.1.3.bmp,mem2.3.1.bmp
38,ACC014,mem,resp,1318,0,mem2.3.1.bmp,mem3.1.1.bmp,mem2.2.1.bmp
39,ACC014,mem,resp,1058,1,mem1.2.1.bmp,mem3.1.2.bmp,mem3.1.2.bmp
40,ACC014,mem,resp,845,1,mem1.2.3.bmp,mem3.3.3.bmp,mem3.2.1.bmp
41,ACC014,mem,resp,802,1,mem1.1.2.bmp,mem1.2.2.bmp,mem1.1.2.bmp
42,ACC014,mem,resp,758,1,mem3.2.2.bmp,mem1.3.2.bmp,mem1.3.2.bmp
43,ACC014,mem,resp,937,1,mem2.1.2.bmp,mem1.1.3.bmp,mem3.1.1.bmp
44,ACC014,mem,resp,742,1,mem2.2.3.bmp,mem2.3.3.bmp,mem3.1.3.bmp
45,ACC014,mem,resp,1092,1,mem3.2.1.bmp,mem3.3.1.bmp,mem3.3.3.bmp
46,ACC014,mem,resp,739,0,mem2.1.1.bmp,mem1.2.1.bmp,mem2.2.2.bmp
47,ACC014,mem,resp,1078,1,mem2.3.2.bmp,mem1.3.3.bmp,mem1.3.3.bmp
48,ACC014,mem,resp,878,1,mem1.3.2.bmp,mem3.1.3.bmp,mem3.1.3.bmp
49,ACC014,mem,resp,774,0,mem3.1.2.bmp,mem2.1.3.bmp,mem3.2.2.bmp
50,ACC014,mem,resp,781,1,mem1.1.1.bmp,mem2.1.2.bmp,mem1.1.1.bmp
51,ACC014,mem,resp,647,1,mem3.3.1.bmp,mem2.3.1.bmp,mem2.3.1.bmp
52,ACC014,mem,resp,611,1,mem3.1.3.bmp,mem1.2.3.bmp,mem3.1.3.bmp
53,ACC014,mem,resp,798,1,mem3.3.3.bmp,mem3.3.2.bmp,mem2.3.3.bmp
54,ACC014,mem,resp,643,0,mem2.1.3.bmp,mem2.2.1.bmp,mem1.3.3.bmp
55,ACC014,mem,resp,1333,1,mem3.2.3.bmp,mem1.1.2.bmp,mem3.1.2.bmp
56,ACC014,mem,resp,1294,1,mem3.1.1.bmp,mem2.1.1.bmp,mem2.1.1.bmp
57,ACC014,mem,resp,762,1,mem1.3.1.bmp,mem3.3.2.bmp,mem3.1.3.bmp
58,ACC014,mem,resp,889,1,mem2.2.1.bmp,mem2.3.1.bmp,mem3.2.1.bmp
59,ACC014,mem,resp,1037,1,mem2.2.2.bmp,mem2.3.3.bmp,mem3.3.1.bmp
60,ACC014,mem,resp,827,1,mem1.2.2.bmp,mem3.2.2.bmp,mem2.3.2.bmp
61,ACC014,mem,resp,560,0,mem1.3.3.bmp,mem2.1.3.bmp,mem1.1.2.bmp
62,ACC014,mem,resp,685,1,mem3.3.2.bmp,mem3.1.2.bmp,mem1.1.1.bmp
63,ACC014,mem,resp,730,1,mem1.1.3.bmp,mem2.2.3.bmp,mem1.1.3.bmp
64,ACC014,mem,resp,757,1,mem2.3.3.bmp,mem1.3.2.bmp,mem3.2.2.bmp
65,ACC014,mem,resp,994,1,mem3.2.1.bmp,mem1.2.3.bmp,mem3.2.1.bmp
66,ACC014,mem,resp,1021,0,mem2.1.1.bmp,mem2.3.2.bmp,mem2.1.2.bmp
67,ACC014,mem,resp,1283,1,mem3.3.3.bmp,mem1.1.3.bmp,mem3.3.3.bmp
68,ACC014,mem,resp,781,0,mem1.3.3.bmp,mem3.3.1.bmp,mem3.2.2.bmp
69,ACC014,mem,resp,766,1,mem3.1.1.bmp,mem2.2.2.bmp,mem1.2.1.bmp
70,ACC014,mem,resp,783,1,mem1.3.1.bmp,mem1.2.2.bmp,mem1.2.2.bmp
71,ACC014,mem,resp,977,1,mem2.3.2.bmp,mem3.3.3.bmp,mem2.3.2.bmp
72,ACC014,mem,resp,660,1,mem3.3.1.bmp,mem3.1.3.bmp,mem3.1.3.bmp
73,ACC014,mem,resp,585,1,mem2.2.2.bmp,mem2.1.2.bmp,mem2.1.2.bmp
74,ACC014,mem,resp,1013,0,mem1.1.3.bmp,mem1.1.1.bmp,mem1.1.3.bmp
75,ACC014,mem,resp,780,0,mem2.2.1.bmp,mem2.1.1.bmp,mem2.2.1.bmp
76,ACC014,mem,resp,666,1,mem1.2.2.bmp,mem1.1.2.bmp,mem3.3.2.bmp
77,ACC014,mem,resp,1087,1,mem2.1.2.bmp,mem2.1.1.bmp,mem2.1.1.bmp
78,ACC014,mem,resp,681,1,mem1.2.2.bmp,mem1.1.3.bmp,mem1.1.3.bmp
79,ACC014,mem,resp,736,1,mem1.2.3.bmp,mem3.1.2.bmp,mem1.2.3.bmp
80,ACC014,mem,resp,641,1,mem3.2.2.bmp,mem1.2.1.bmp,mem2.3.3.bmp
81,ACC014,mem,resp,846,1,mem3.2.1.bmp,mem1.1.2.bmp,mem2.1.3.bmp
82,ACC014,mem,resp,581,1,mem1.3.1.bmp,mem1.3.2.bmp,mem3.2.3.bmp
83,ACC014,mem,resp,546,1,mem3.3.2.bmp,mem3.3.1.bmp,mem3.3.2.bmp
84,ACC014,mem,resp,861,1,mem3.1.3.bmp,mem3.3.3.bmp,mem2.2.3.bmp
85,ACC014,mem,resp,767,1,mem2.2.2.bmp,mem1.2.2.bmp,mem2.2.2.bmp
86,ACC014,mem,resp,1024,1,mem2.1.3.bmp,mem1.3.3.bmp,mem2.1.3.bmp
87,ACC014,mem,resp,567,1,mem2.3.1.bmp,mem2.3.2.bmp,mem2.3.1.bmp
88,ACC014,mem,resp,480,1,mem1.3.2.bmp,mem2.3.3.bmp,mem1.3.2.bmp
89,ACC014,mem,resp,626,1,mem3.3.1.bmp,mem2.2.3.bmp,mem2.2.3.bmp
90,ACC014,mem,resp,801,1,mem1.2.1.bmp,mem2.2.2.bmp,mem1.1.1.bmp
91,ACC014,mem,resp,948,0,mem1.1.3.bmp,mem3.3.2.bmp,mem3.3.2.bmp
92,ACC014,mem,resp,624,1,mem2.1.1.bmp,mem3.2.1.bmp,mem3.2.1.bmp
93,ACC014,mem,resp,1031,0,mem3.1.2.bmp,mem1.2.3.bmp,mem1.3.3.bmp
94,ACC014,mem,resp,877,1,mem3.3.3.bmp,mem2.3.1.bmp,mem3.3.3.bmp
95,ACC014,mem,resp,569,1,mem3.2.3.bmp,mem3.1.3.bmp,mem3.2.3.bmp
96,ACC014,mem,resp,642,1,mem2.2.1.bmp,mem3.1.1.bmp,mem1.2.1.bmp
97,ACC014,mem,resp,909,1,mem1.1.1.bmp,mem2.2.2.bmp,mem1.1.1.bmp
98,ACC014,mem,resp,735,1,mem1.1.2.bmp,mem1.2.3.bmp,mem1.1.2.bmp
99,ACC014,mem,resp,1648,1,mem2.3.2.bmp,mem2.2.3.bmp,mem2.3.2.bmp
100,ACC014,mem,resp,976,1,mem1.3.3.bmp,mem2.1.2.bmp,mem1.2.2.bmp
101,ACC014,mem,resp,714,1,mem3.1.1.bmp,mem3.2.2.bmp,mem3.1.1.bmp
102,ACC014,mem,resp,667,1,mem2.3.3.bmp,mem2.3.1.bmp,mem1.1.1.bmp
103,ACC014,mem,resp,954,1,mem2.2.3.bmp,mem2.1.3.bmp,mem2.1.1.bmp
104,ACC014,mem,resp,700,0,mem1.3.2.bmp,mem3.3.3.bmp,mem3.2.3.bmp
105,ACC014,mem,resp,605,1,mem2.2.2.bmp,mem3.2.1.bmp,mem1.2.1.bmp
106,ACC014,mem,resp,661,1,mem3.1.2.bmp,mem3.1.3.bmp,mem3.1.3.bmp
107,ACC014,mem,resp,846,1,mem2.1.2.bmp,mem3.3.2.bmp,mem2.1.2.bmp
108,ACC014,mem,resp,732,0,mem3.1.1.bmp,mem1.3.3.bmp,mem1.3.2.bmp
109,ACC014,mem,resp,726,1,mem3.2.1.bmp,mem2.1.1.bmp,mem3.2.2.bmp
110,ACC014,mem,resp,923,1,mem1.3.1.bmp,mem1.2.2.bmp,mem1.2.3.bmp
111,ACC014,mem,resp,670,1,mem3.1.3.bmp,mem1.2.1.bmp,mem2.3.3.bmp
112,ACC014,mem,resp,674,1,mem3.3.3.bmp,mem1.1.2.bmp,mem3.3.2.bmp
113,ACC014,mem,resp,829,1,mem2.3.2.bmp,mem1.1.3.bmp,mem3.1.1.bmp
114,ACC014,mem,resp,684,1,mem1.2.3.bmp,mem2.2.1.bmp,mem1.3.3.bmp
115,ACC014,mem,resp,518,1,mem3.2.3.bmp,mem3.3.1.bmp,mem3.2.3.bmp
116,ACC014,mem,resp,913,1,mem1.1.3.bmp,mem1.1.1.bmp,mem1.3.3.bmp
117,ACC014,mem,resp,619,1,mem2.3.3.bmp,mem1.3.1.bmp,mem3.1.3.bmp
118,ACC014,mem,resp,752,1,mem2.1.2.bmp,mem2.2.2.bmp,mem1.2.1.bmp
119,ACC014,mem,resp,626,1,mem2.3.2.bmp,mem2.2.1.bmp,mem1.2.3.bmp
120,ACC014,mem,resp,652,1,mem3.3.2.bmp,mem1.3.3.bmp,mem3.2.1.bmp
121,ACC014,mem,resp,633,1,mem1.2.2.bmp,mem3.3.1.bmp,mem2.1.3.bmp
122,ACC014,mem,resp,628,0,mem1.1.1.bmp,mem3.1.2.bmp,mem3.1.2.bmp
123,ACC014,mem,resp,923,1,mem1.3.1.bmp,mem2.2.3.bmp,mem2.2.2.bmp
124,ACC014,mem,resp,761,1,mem3.2.3.bmp,mem1.2.3.bmp,mem1.2.3.bmp
125,ACC014,mem,resp,876,1,mem2.1.3.bmp,mem3.2.2.bmp,mem2.1.3.bmp
126,ACC014,mem,resp,791,0,mem1.3.3.bmp,mem2.3.1.bmp,mem3.1.2.bmp
127,ACC014,mem,resp,789,1,mem2.1.1.bmp,mem1.2.1.bmp,mem2.1.1.bmp
128,ACC014,mem,resp,854,1,mem2.2.2.bmp,mem3.2.1.bmp,mem2.2.2.bmp
129,ACC014,mem,resp,747,1,mem1.2.3.bmp,mem1.1.2.bmp,mem1.3.2.bmp
130,ACC014,mem,resp,633,1,mem2.2.1.bmp,mem1.2.2.bmp,mem1.2.2.bmp
131,ACC014,mem,resp,992,1,mem3.3.3.bmp,mem3.1.3.bmp,mem3.1.3.bmp
132,ACC014,mem,resp,685,1,mem2.2.3.bmp,mem3.1.1.bmp,mem3.1.1.bmp
133,ACC014,mem,resp,578,1,mem3.2.1.bmp,mem3.3.2.bmp,mem1.2.3.bmp
134,ACC014,mem,resp,795,1,mem1.2.1.bmp,mem2.1.2.bmp,mem2.3.2.bmp
135,ACC014,mem,resp,750,1,mem1.3.2.bmp,mem2.1.1.bmp,mem2.1.1.bmp
136,ACC014,mem,resp,626,1,mem3.1.2.bmp,mem3.2.3.bmp,mem3.1.2.bmp
137,ACC014,mem,resp,881,0,mem1.1.2.bmp,mem2.1.3.bmp,mem2.1.3.bmp
138,ACC014,mem,resp,766,0,mem3.2.2.bmp,mem3.3.3.bmp,mem3.2.2.bmp
139,ACC014,mem,resp,742,1,mem3.1.3.bmp,mem1.2.1.bmp,mem3.2.1.bmp
140,ACC014,mem,resp,677,1,mem3.1.1.bmp,mem1.2.2.bmp,mem3.3.2.bmp
141,ACC014,mem,resp,712,1,mem3.3.1.bmp,mem1.1.2.bmp,mem2.3.2.bmp
142,ACC014,mem,resp,705,1,mem2.3.1.bmp,mem1.3.3.bmp,mem2.1.3.bmp
143,ACC014,mem,resp,629,1,mem2.3.3.bmp,mem3.1.2.bmp,mem1.3.1.bmp
144,ACC014,mem,resp,814,1,mem1.3.2.bmp,mem2.2.2.bmp,mem2.2.3.bmp
145,ACC014,mem,resp,668,1,mem3.1.3.bmp,mem3.2.3.bmp,mem3.2.3.bmp
146,ACC014,mem,resp,1389,1,mem3.2.2.bmp,mem2.1.3.bmp,mem3.2.2.bmp
147,ACC014,mem,resp,1127,1,mem3.3.3.bmp,mem1.3.1.bmp,mem3.3.3.bmp
148,ACC014,mem,resp,885,1,mem1.2.3.bmp,mem3.3.1.bmp,mem3.3.1.bmp
149,ACC014,mem,resp,516,1,mem2.2.1.bmp,mem3.2.1.bmp,mem2.2.1.bmp
150,ACC014,mem,resp,509,1,mem1.3.3.bmp,mem2.3.3.bmp,mem2.1.1.bmp
151,ACC014,mem,resp,674,0,mem2.3.2.bmp,mem3.1.1.bmp,mem3.2.2.bmp
152,ACC014,mem,resp,588,1,mem1.2.2.bmp,mem2.2.3.bmp,mem1.2.2.bmp
153,ACC014,mem,resp,573,1,mem3.1.2.bmp,mem1.1.1.bmp,mem1.1.1.bmp
154,ACC014,mem,resp,768,0,mem2.2.2.bmp,mem1.3.2.bmp,mem1.3.2.bmp
155,ACC014,mem,resp,621,0,mem2.1.2.bmp,mem3.2.2.bmp,mem2.1.3.bmp
156,ACC014,mem,resp,746,1,mem2.1.3.bmp,mem3.1.1.bmp,mem3.1.1.bmp
157,ACC014,mem,resp,649,1,mem3.1.2.bmp,mem2.1.1.bmp,mem2.1.1.bmp
158,ACC014,mem,resp,593,0,mem3.2.1.bmp,mem1.2.2.bmp,mem1.1.2.bmp
159,ACC014,mem,resp,1210,0,mem2.1.2.bmp,mem1.3.3.bmp,mem2.1.2.bmp
160,ACC014,mem,resp,808,1,mem3.2.2.bmp,mem3.1.3.bmp,mem3.1.1.bmp
161,ACC014,mem,resp,865,1,mem1.3.2.bmp,mem1.2.3.bmp,mem1.2.3.bmp
162,ACC014,mem,resp,672,1,mem2.1.1.bmp,mem3.3.2.bmp,mem3.3.2.bmp
163,ACC014,mem,resp,737,1,mem2.3.2.bmp,mem3.2.3.bmp,mem3.1.2.bmp
164,ACC014,mem,resp,703,1,mem1.1.2.bmp,mem1.1.3.bmp,mem1.1.3.bmp
165,ACC014,mem,resp,598,1,mem2.3.3.bmp,mem2.1.3.bmp,mem2.3.3.bmp
166,ACC014,mem,resp,671,1,mem3.3.2.bmp,mem1.3.2.bmp,mem1.2.1.bmp
167,ACC014,mem,resp,534,1,mem2.2.2.bmp,mem2.2.3.bmp,mem2.2.3.bmp
168,ACC014,mem,resp,1083,1,mem1.2.2.bmp,mem3.2.1.bmp,mem1.2.2.bmp
169,ACC014,mem,resp,879,1,mem3.3.1.bmp,mem1.3.1.bmp,mem1.3.1.bmp
170,ACC014,mem,resp,956,1,mem3.2.3.bmp,mem3.1.2.bmp,mem3.2.3.bmp
171,ACC014,mem,resp,975,0,mem3.1.1.bmp,mem3.3.3.bmp,mem3.1.1.bmp
172,ACC014,mem,resp,789,1,mem1.2.1.bmp,mem1.1.1.bmp,mem1.2.3.bmp
173,ACC014,mem,resp,958,1,mem2.3.1.bmp,mem1.1.2.bmp,mem1.1.2.bmp
174,ACC014,mem,resp,700,1,mem3.1.3.bmp,mem3.3.1.bmp,mem3.1.3.bmp
175,ACC014,mem,resp,835,1,mem2.2.1.bmp,mem2.3.3.bmp,mem1.3.1.bmp
176,ACC014,mem,resp,661,0,mem3.3.3.bmp,mem2.2.2.bmp,mem3.3.3.bmp
177,ACC014,mem,resp,584,1,mem1.1.1.bmp,mem1.2.1.bmp,mem3.2.3.bmp
178,ACC014,mem,resp,917,1,mem1.2.3.bmp,mem3.3.1.bmp,mem3.3.1.bmp
179,ACC014,mem,resp,599,1,mem1.1.3.bmp,mem3.3.2.bmp,mem1.1.3.bmp
180,ACC014,mem,resp,515,1,mem1.3.1.bmp,mem1.2.2.bmp,mem1.2.2.bmp
181,ACC014,mem,resp,568,1,mem2.2.3.bmp,mem2.1.1.bmp,mem2.2.3.bmp
182,ACC014,mem,resp,1035,1,mem1.3.3.bmp,mem2.3.1.bmp,mem1.3.2.bmp
183,ACC014,mem,resp,658,1,mem1.3.3.bmp,mem1.1.1.bmp,mem1.1.1.bmp
184,ACC014,mem,resp,572,1,mem2.3.2.bmp,mem3.2.1.bmp,mem2.3.3.bmp
185,ACC014,mem,resp,929,1,mem1.3.1.bmp,mem3.1.1.bmp,mem1.1.3.bmp
186,ACC014,mem,resp,762,1,mem2.2.1.bmp,mem2.1.2.bmp,mem3.3.1.bmp
187,ACC014,mem,resp,628,1,mem3.2.2.bmp,mem1.1.2.bmp,mem2.3.1.bmp
188,ACC014,mem,resp,1003,1,mem3.3.2.bmp,mem1.2.3.bmp,mem1.2.3.bmp
189,ACC014,mem,resp,1050,0,mem2.2.2.bmp,mem3.3.3.bmp,mem2.2.2.bmp
190,ACC014,mem,resp,766,1,mem1.2.1.bmp,mem2.1.3.bmp,mem1.1.1.bmp
191,ACC014,mem,resp,588,1,mem3.2.3.bmp,mem3.1.2.bmp,mem1.3.1.bmp
192,ACC014,mem,resp,571,1,mem3.2.1.bmp,mem3.1.3.bmp,mem3.1.3.bmp
193,ACC014,mem,resp,595,1,mem1.2.2.bmp,mem2.2.3.bmp,mem2.2.1.bmp
194,ACC014,mem,resp,626,1,mem2.1.2.bmp,mem1.3.2.bmp,mem1.1.2.bmp
195,ACC014,mem,resp,604,1,mem2.3.2.bmp,mem2.2.1.bmp,mem2.3.2.bmp
196,ACC014,mem,resp,858,1,mem3.2.3.bmp,mem1.2.3.bmp,mem3.2.3.bmp
197,ACC014,mem,resp,591,1,mem1.1.1.bmp,mem2.2.3.bmp,mem1.1.1.bmp
198,ACC014,mem,resp,564,0,mem1.3.3.bmp,mem3.2.2.bmp,mem2.2.2.bmp
199,ACC014,mem,resp,1181,1,mem1.1.3.bmp,mem2.3.2.bmp,mem2.1.1.bmp
200,ACC014,mem,resp,495,1,mem2.1.2.bmp,mem2.3.1.bmp,mem2.3.1.bmp
201,ACC014,mem,resp,608,1,mem2.1.3.bmp,mem3.1.3.bmp,mem3.3.3.bmp
202,ACC014,mem,resp,601,1,mem3.1.2.bmp,mem1.1.1.bmp,mem1.2.3.bmp
203,ACC014,mem,resp,735,1,mem1.1.2.bmp,mem3.2.1.bmp,mem2.2.1.bmp
204,ACC014,mem,resp,832,1,mem2.2.2.bmp,mem1.3.3.bmp,mem1.3.3.bmp
205,ACC014,mem,resp,665,1,mem1.3.1.bmp,mem1.1.3.bmp,mem2.1.1.bmp
206,ACC014,mem,resp,873,1,mem2.2.3.bmp,mem3.3.1.bmp,mem2.3.2.bmp
207,ACC014,mem,resp,798,1,mem1.2.2.bmp,mem1.2.1.bmp,mem1.2.1.bmp
208,ACC014,mem,resp,813,1,mem3.2.2.bmp,mem1.1.2.bmp,mem3.2.3.bmp
209,ACC014,mem,resp,545,1,mem1.3.2.bmp,mem2.3.3.bmp,mem3.3.2.bmp
210,ACC014,mem,resp,897,1,mem3.3.1.bmp,mem1.3.1.bmp,mem1.3.1.bmp
211,ACC014,mem,resp,712,0,mem3.3.3.bmp,mem3.1.2.bmp,mem3.1.2.bmp
212,ACC014,mem,resp,706,1,mem3.1.1.bmp,mem2.1.2.bmp,mem1.1.3.bmp
213,ACC014,mem,resp,791,0,mem2.2.1.bmp,mem2.2.2.bmp,mem2.2.1.bmp
214,ACC014,mem,resp,950,1,mem3.2.1.bmp,mem3.3.2.bmp,mem3.2.1.bmp
215,ACC014,mem,resp,684,1,mem2.3.1.bmp,mem3.2.3.bmp,mem2.1.3.bmp
216,ACC014,mem,resp,779,0,mem1.2.3.bmp,mem2.1.1.bmp,mem2.1.1.bmp
217,ACC014,mem,resp,652,1,mem1.2.1.bmp,mem1.3.2.bmp,mem1.2.1.bmp
218,ACC014,mem,resp,780,1,mem2.3.3.bmp,mem1.3.1.bmp,mem2.2.3.bmp
219,ACC014,mem,resp,915,1,mem3.3.2.bmp,mem2.2.1.bmp,mem3.3.3.bmp
220,ACC014,mem,resp,1123,0,mem2.1.1.bmp,mem1.1.3.bmp,mem1.2.3.bmp
221,ACC014,mem,resp,636,1,mem3.1.3.bmp,mem3.1.1.bmp,mem3.1.3.bmp
222,ACC014,mem,resp,975,0,mem3.2.2.bmp,mem2.2.2.bmp,mem2.2.3.bmp
223,ACC014,mem,resp,608,1,mem2.2.1.bmp,mem3.2.3.bmp,mem1.2.2.bmp
224,ACC014,mem,resp,721,1,mem2.1.3.bmp,mem2.3.1.bmp,mem2.3.1.bmp
225,ACC014,mem,resp,676,1,mem2.1.1.bmp,mem2.3.2.bmp,mem3.1.3.bmp
226,ACC014,mem,resp,1104,1,mem3.2.1.bmp,mem2.1.2.bmp,mem2.1.2.bmp
227,ACC014,mem,resp,697,1,mem3.1.1.bmp,mem2.2.3.bmp,mem2.2.3.bmp
228,ACC014,mem,resp,691,1,mem3.1.2.bmp,mem1.2.2.bmp,mem3.1.2.bmp
229,ACC014,mem,resp,868,1,mem2.3.2.bmp,mem3.2.2.bmp,mem2.3.2.bmp
230,ACC014,mem,resp,723,1,mem1.3.3.bmp,mem3.2.1.bmp,mem2.2.1.bmp
231,ACC014,mem,resp,614,1,mem2.2.3.bmp,mem1.1.2.bmp,mem1.1.2.bmp
232,ACC014,mem,resp,742,1,mem1.1.3.bmp,mem2.3.3.bmp,mem1.2.3.bmp
233,ACC014,mem,resp,483,1,mem1.2.2.bmp,mem3.3.1.bmp,mem1.2.2.bmp
234,ACC014,mem,resp,824,1,mem1.2.1.bmp,mem1.3.3.bmp,mem2.2.1.bmp
235,ACC014,mem,resp,736,1,mem2.1.3.bmp,mem1.1.1.bmp,mem2.1.3.bmp
236,ACC014,mem,resp,559,1,mem3.1.2.bmp,mem3.1.1.bmp,mem1.1.2.bmp
237,ACC014,mem,resp,814,0,mem2.2.2.bmp,mem3.3.2.bmp,mem1.2.1.bmp
238,ACC014,mem,resp,727,1,mem3.3.3.bmp,mem1.1.3.bmp,mem3.3.1.bmp
239,ACC014,mem,resp,651,1,mem2.1.2.bmp,mem2.3.3.bmp,mem2.3.3.bmp
240,ACC014,mem,resp,656,1,mem2.2.3.bmp,mem2.2.1.bmp,mem3.1.2.bmp
241,ACC014,mem,resp,658,1,mem2.3.2.bmp,mem2.3.1.bmp,mem1.3.1.bmp
242,ACC014,mem,resp,763,1,mem1.3.2.bmp,mem3.2.1.bmp,mem1.3.2.bmp
243,ACC014,mem,resp,749,0,mem3.3.1.bmp,mem2.1.3.bmp,mem1.1.1.bmp
244,ACC014,mem,resp,814,1,mem1.3.3.bmp,mem1.2.2.bmp,mem1.2.2.bmp
245,ACC014,mem,resp,505,0,mem1.2.1.bmp,mem2.3.2.bmp,mem2.3.1.bmp
246,ACC014,mem,resp,489,1,mem1.1.3.bmp,mem1.1.2.bmp,mem1.1.3.bmp
247,ACC014,mem,resp,1102,0,mem3.3.2.bmp,mem3.2.2.bmp,mem3.2.2.bmp
248,ACC014,mem,resp,789,1,mem2.1.1.bmp,mem3.1.3.bmp,mem3.1.3.bmp
249,ACC014,mem,resp,755,1,mem1.3.1.bmp,mem1.3.2.bmp,mem1.3.1.bmp
250,ACC014,mem,resp,720,0,mem1.1.1.bmp,mem3.2.3.bmp,mem2.1.3.bmp
251,ACC014,mem,resp,701,1,mem2.3.1.bmp,mem1.3.3.bmp,mem2.3.1.bmp
252,ACC014,mem,resp,625,1,mem3.2.1.bmp,mem2.1.1.bmp,mem3.2.1.bmp
253,ACC014,mem,resp,971,1,mem3.1.1.bmp,mem2.2.2.bmp,mem3.3.2.bmp
254,ACC014,mem,resp,774,1,mem3.1.3.bmp,mem2.1.2.bmp,mem3.3.1.bmp
255,ACC014,mem,resp,758,1,mem2.3.3.bmp,mem3.3.3.bmp,mem2.3.3.bmp
256,ACC014,mem,resp,643,1,mem1.2.3.bmp,mem2.2.3.bmp,mem3.1.2.bmp
257,ACC014,mem,resp,676,1,mem1.2.2.bmp,mem3.3.2.bmp,mem3.3.2.bmp
258,ACC014,mem,resp,729,1,mem2.2.1.bmp,mem1.3.3.bmp,mem2.2.1.bmp
259,ACC014,mem,resp,683,1,mem3.2.2.bmp,mem2.3.3.bmp,mem1.1.1.bmp
260,ACC014,mem,resp,566,1,mem3.2.3.bmp,mem1.3.1.bmp,mem2.1.1.bmp
261,ACC014,mem,resp,537,1,mem1.1.2.bmp,mem1.2.2.bmp,mem2.3.2.bmp
